Date, RAM(MB), CPU(%)
Thu May 28 09:33:51 UTC 2020,  1607, 84.2
Thu May 28 09:34:02 UTC 2020,  1856, 0.0
Thu May 28 09:34:12 UTC 2020,  1061, 94.1
Thu May 28 09:34:22 UTC 2020,  1500, 93.8
Thu May 28 09:34:32 UTC 2020,  1893, 5.9
Thu May 28 09:34:43 UTC 2020,  1906, 5.9
Thu May 28 09:34:53 UTC 2020,  1179, 56.2
Thu May 28 09:35:03 UTC 2020,  1591, 88.9
Thu May 28 09:35:13 UTC 2020,  1730, 0.0
Thu May 28 09:35:23 UTC 2020,  1776, 0.0
Thu May 28 09:35:34 UTC 2020,  925, 58.8
Thu May 28 09:35:44 UTC 2020,  1055, 6.2
Thu May 28 09:35:54 UTC 2020,  370, 93.3
Thu May 28 09:36:04 UTC 2020,  371, 14.3
Thu May 28 09:36:14 UTC 2020,  371, 0.0
Thu May 28 09:36:25 UTC 2020,  372, 5.9
Thu May 28 09:36:35 UTC 2020,  372, 0.0
Thu May 28 09:36:45 UTC 2020,  373, 0.0
Thu May 28 09:36:55 UTC 2020,  373, 0.0
Thu May 28 09:37:05 UTC 2020,  373, 0.0
Thu May 28 09:37:15 UTC 2020,  374, 0.0
Thu May 28 09:37:26 UTC 2020,  373, 0.0
Thu May 28 09:37:36 UTC 2020,  374, 11.8
Thu May 28 09:37:46 UTC 2020,  374, 0.0
Thu May 28 09:37:56 UTC 2020,  373, 0.0
Thu May 28 09:38:06 UTC 2020,  373, 5.6
Thu May 28 09:38:16 UTC 2020,  372, 81.2
Thu May 28 09:38:27 UTC 2020,  373, 0.0
Thu May 28 09:38:37 UTC 2020,  374, 68.8
Thu May 28 09:38:47 UTC 2020,  93, 0.0
Thu May 28 09:38:57 UTC 2020,  92, 0.0
Thu May 28 09:39:07 UTC 2020,  92, 0.0
Thu May 28 09:39:17 UTC 2020,  92, 0.0
Thu May 28 09:39:28 UTC 2020,  92, 5.9
Thu May 28 09:39:38 UTC 2020,  92, 5.9
Thu May 28 09:39:48 UTC 2020,  261, 0.0
Thu May 28 09:39:58 UTC 2020,  99, 0.0
Thu May 28 09:40:08 UTC 2020,  100, 6.2
Thu May 28 09:40:18 UTC 2020,  99, 0.0
Thu May 28 09:40:29 UTC 2020,  323, 0.0
Thu May 28 09:40:39 UTC 2020,  323, 0.0
Thu May 28 09:40:49 UTC 2020,  324, 6.2
Thu May 28 09:40:59 UTC 2020,  324, 0.0
Thu May 28 09:41:09 UTC 2020,  324, 0.0
Thu May 28 09:41:19 UTC 2020,  323, 0.0
Thu May 28 09:41:30 UTC 2020,  323, 0.0
Thu May 28 09:41:40 UTC 2020,  323, 0.0
Thu May 28 09:41:50 UTC 2020,  323, 0.0
Thu May 28 09:42:00 UTC 2020,  323, 0.0
Thu May 28 09:42:10 UTC 2020,  323, 6.2
Thu May 28 09:42:20 UTC 2020,  323, 0.0
Thu May 28 09:42:31 UTC 2020,  324, 0.0
Thu May 28 09:42:41 UTC 2020,  324, 6.2
Thu May 28 09:42:51 UTC 2020,  324, 0.0
Thu May 28 09:43:01 UTC 2020,  325, 6.2
Thu May 28 09:43:11 UTC 2020,  325, 0.0
Thu May 28 09:43:21 UTC 2020,  325, 0.0
Thu May 28 09:43:32 UTC 2020,  325, 6.2
Thu May 28 09:43:42 UTC 2020,  325, 0.0
Thu May 28 09:43:52 UTC 2020,  326, 0.0
Thu May 28 09:44:02 UTC 2020,  326, 0.0
Thu May 28 09:44:12 UTC 2020,  325, 0.0
Thu May 28 09:44:22 UTC 2020,  326, 0.0
Thu May 28 09:44:33 UTC 2020,  326, 6.2
Thu May 28 09:44:43 UTC 2020,  326, 0.0
Thu May 28 09:44:53 UTC 2020,  329, 0.0
Thu May 28 09:45:03 UTC 2020,  326, 0.0
Thu May 28 09:45:13 UTC 2020,  319, 0.0
Thu May 28 09:45:23 UTC 2020,  319, 0.0
Thu May 28 09:45:34 UTC 2020,  319, 0.0
Thu May 28 09:45:44 UTC 2020,  319, 6.2
Thu May 28 09:45:54 UTC 2020,  324, 0.0
Thu May 28 09:46:04 UTC 2020,  324, 0.0
Thu May 28 09:46:14 UTC 2020,  323, 0.0
Thu May 28 09:46:24 UTC 2020,  326, 0.0
Thu May 28 09:46:35 UTC 2020,  327, 6.2
Thu May 28 09:46:45 UTC 2020,  327, 0.0
Thu May 28 09:46:55 UTC 2020,  327, 0.0
Thu May 28 09:47:05 UTC 2020,  326, 0.0
Thu May 28 09:47:15 UTC 2020,  326, 0.0
Thu May 28 09:47:25 UTC 2020,  326, 5.9
Thu May 28 09:47:36 UTC 2020,  326, 0.0
Thu May 28 09:47:46 UTC 2020,  326, 6.2
Thu May 28 09:47:56 UTC 2020,  327, 0.0
Thu May 28 09:48:06 UTC 2020,  327, 0.0
Thu May 28 09:48:16 UTC 2020,  326, 0.0
Thu May 28 09:48:26 UTC 2020,  327, 0.0
Thu May 28 09:48:37 UTC 2020,  327, 0.0
Thu May 28 09:48:47 UTC 2020,  326, 0.0
Thu May 28 09:48:57 UTC 2020,  327, 0.0
Thu May 28 09:49:07 UTC 2020,  326, 0.0
Thu May 28 09:49:17 UTC 2020,  326, 6.2
Thu May 28 09:49:27 UTC 2020,  328, 0.0
Thu May 28 09:49:38 UTC 2020,  326, 6.2
Date, RAM(MB), CPU(%)
Thu May 28 09:51:57 UTC 2020,  333, 0.0
